,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,mm,day,year,zipcode
4798523,206889594,12/31/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,121,0.0,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE,938676.0,153149.0,40.58692579000007,-74.16408371599994,12,31,2019,10314
4798615,206880683,12/30/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,122,0.0,25-44,F,WHITE,965092.0,155703.0,40.594032466000044,-74.06898422099994,12,30,2019,10305
4798646,206878029,12/30/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,45-64,F,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,30,2019,10301
4798647,206878031,12/30/2019,198.0,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,PL 21551B3,F,S,120,0.0,25-44,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,30,2019,10301
4798650,206879014,12/30/2019,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 140200X,F,S,120,0.0,25-44,M,WHITE,961360.0,167121.0,40.62536367100006,-74.082460842,12,30,2019,10301
4798721,206879562,12/30/2019,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,S,121,0.0,25-44,M,WHITE HISPANIC,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,30,2019,10303
4798739,206878032,12/30/2019,198.0,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,PL 21551B3,F,S,120,0.0,25-44,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,30,2019,10301
4798805,206881262,12/30/2019,461.0,UNAUTHORIZED USE VEHICLE 2,126.0,MISCELLANEOUS PENAL LAW,PL 1650600,F,S,121,0.0,18-24,M,BLACK,938390.0,172481.0,40.639986580000034,-74.16524471299994,12,30,2019,10303
4798820,206878026,12/30/2019,113.0,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,S,121,0.0,25-44,M,WHITE,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,30,2019,10303
4798827,206878027,12/30/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,121,0.0,25-44,M,WHITE,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,30,2019,10303
4798854,206878033,12/30/2019,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,S,120,0.0,25-44,M,BLACK HISPANIC,961360.0,167121.0,40.62536367100006,-74.082460842,12,30,2019,10301
4798899,206879015,12/30/2019,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,S,120,0.0,25-44,M,WHITE,961360.0,167121.0,40.62536367100006,-74.082460842,12,30,2019,10301
4798910,206878030,12/30/2019,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,S,120,0.0,25-44,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,30,2019,10301
4798918,206878028,12/30/2019,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,S,121,0.0,25-44,M,WHITE,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,30,2019,10303
4798928,206872211,12/29/2019,113.0,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,S,121,0.0,18-24,M,BLACK,937325.0,151467.0,40.582301992000055,-74.16893609499994,12,29,2019,10314
4798975,206870067,12/29/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,121,0.0,18-24,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,29,2019,10303
4798995,206870683,12/29/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,S,121,0.0,<18,F,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,29,2019,10303
4799006,206872613,12/29/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,121,0.0,25-44,F,WHITE HISPANIC,937077.0,149100.0,40.57580373900004,-74.16981239899997,12,29,2019,10312
4799048,206870255,12/29/2019,681.0,"CHILD, ENDANGERING WELFARE",233.0,SEX CRIMES,PL 2601001,M,S,121,0.0,18-24,F,BLACK,942428.0,166536.0,40.62368882200008,-74.15065813299998,12,29,2019,10303
4799066,206873152,12/29/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,121,0.0,25-44,M,WHITE,937067.0,147309.0,40.57088775000005,-74.16983589599994,12,29,2019,10312
4799084,206868805,12/29/2019,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450501,F,S,121,0.0,18-24,M,WHITE HISPANIC,940186.0,160939.0,40.60831537100006,-74.15869801499997,12,29,2019,10314
4799085,206872212,12/29/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,121,0.0,45-64,M,WHITE HISPANIC,938881.0,167697.0,40.62685806400003,-74.16344337699995,12,29,2019,10303
4799118,206871285,12/29/2019,503.0,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,S,121,0.0,18-24,M,BLACK,940676.0,170644.0,40.634955956000056,-74.15699592699998,12,29,2019,10303
4799159,206868616,12/29/2019,268.0,CRIMINAL MIS 2 & 3,121.0,CRIMINAL MISCHIEF & RELATED OF,PL 1451000,F,S,120,0.0,25-44,F,BLACK,964814.0,162295.0,40.61212555700007,-74.070004193,12,29,2019,10305
4799194,206870066,12/29/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,121,0.0,18-24,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,29,2019,10303
4799199,206870254,12/29/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,121,0.0,18-24,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,29,2019,10303
4799212,206870253,12/29/2019,681.0,"CHILD, ENDANGERING WELFARE",233.0,SEX CRIMES,PL 2601001,M,S,121,0.0,18-24,F,BLACK,942428.0,166536.0,40.62368882200008,-74.15065813299998,12,29,2019,10303
4799231,206866477,12/28/2019,139.0,"MURDER,UNCLASSIFIED",101.0,MURDER & NON-NEGL. MANSLAUGHTE,PL 1252501,F,S,121,0.0,25-44,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,28,2019,10303
4799284,206865577,12/28/2019,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,PL 1702500,F,S,121,11.0,25-44,M,BLACK,947561.0,160964.0,40.60841759500005,-74.13213711899994,12,28,2019,10314
4799285,206865022,12/28/2019,567.0,"MARIJUANA, POSSESSION 4 & 5",235.0,DANGEROUS DRUGS,PL 2211500,M,S,120,0.0,18-24,M,BLACK,960348.0,171964.0,40.638654004000045,-74.08612364199999,12,28,2019,10301
4799289,206866045,12/28/2019,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,PL 1701003,F,S,122,0.0,18-24,M,WHITE,961369.0,155397.0,40.593183727000046,-74.08238869399997,12,28,2019,10305
4799322,206865024,12/28/2019,203.0,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,PL 140100A,M,S,120,0.0,18-24,M,BLACK,960348.0,171964.0,40.638654004000045,-74.08612364199999,12,28,2019,10301
4799327,206864443,12/28/2019,748.0,"CONTEMPT,CRIMINAL",359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2155003,M,S,123,0.0,65+,M,WHITE,914928.0,125757.0,40.51158633800003,-74.24930372699998,12,28,2019,10307
4799348,206861080,12/28/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,120,0.0,25-44,M,WHITE HISPANIC,952901.0,172918.0,40.64124930100007,-74.11296061499998,12,28,2019,10302
4799352,206860599,12/28/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,121,0.0,45-64,M,ASIAN / PACIFIC ISLANDER,938101.0,153589.0,40.58813052500005,-74.16615691599996,12,28,2019,10314
4799382,206865849,12/28/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,121,0.0,18-24,M,WHITE,939590.0,168206.0,40.628258763000076,-74.16089257599998,12,28,2019,10303
4799388,206865023,12/28/2019,203.0,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,PL 140100A,M,S,120,0.0,25-44,M,BLACK,960348.0,171964.0,40.638654004000045,-74.08612364199999,12,28,2019,10301
4799400,206861079,12/28/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,122,0.0,65+,M,WHITE,967259.0,157799.0,40.59978998200007,-74.06118671499998,12,28,2019,10305
4799423,206862658,12/28/2019,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,S,121,0.0,25-44,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,28,2019,10303
4799474,206863572,12/28/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,25-44,M,WHITE HISPANIC,962822.0,174282.0,40.645022746000045,-74.077216847,12,28,2019,10301
4799501,206860480,12/28/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0.0,25-44,F,WHITE,934853.0,167415.0,40.62606249000004,-74.17795215399997,12,28,2019,10303
4799618,206855226,12/27/2019,105.0,STRANGULATION 1ST,106.0,FELONY ASSAULT,PL 1211200,F,S,120,0.0,25-44,M,WHITE,962822.0,174282.0,40.645022746000045,-74.077216847,12,27,2019,10301
4799654,206860207,12/27/2019,585.0,"PROSTITUTION 3,PROMOTING BUSIN",115.0,PROSTITUTION & RELATED OFFENSES,PL 2302501,F,S,122,0.0,45-64,F,ASIAN / PACIFIC ISLANDER,953809.0,150555.0,40.57987066800007,-74.10958803099999,12,27,2019,10306
4799658,206852104,12/27/2019,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,S,121,0.0,25-44,M,ASIAN / PACIFIC ISLANDER,942822.0,166353.0,40.623188378000066,-74.14923769499995,12,27,2019,10303
4799681,206857683,12/27/2019,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,S,120,0.0,18-24,F,BLACK,960713.0,164806.0,40.61900778600005,-74.08478353299995,12,27,2019,10305
4799725,206854573,12/27/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510D,F,S,120,0.0,45-64,M,WHITE,954216.0,166983.0,40.624963550000075,-74.10819589399993,12,27,2019,10302
4799748,206860208,12/27/2019,563.0,PROSTITUTION,356.0,PROSTITUTION & RELATED OFFENSES,PL 2300000,M,S,122,0.0,25-44,F,ASIAN / PACIFIC ISLANDER,953809.0,150555.0,40.57987066800007,-74.10958803099999,12,27,2019,10306
4799793,206860209,12/27/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,121,0.0,25-44,F,BLACK,947029.0,167436.0,40.62617965800007,-74.13408879799994,12,27,2019,10310
4799810,206860071,12/27/2019,744.0,BAIL JUMPING 3,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2155500,M,S,121,0.0,25-44,F,WHITE,947315.0,157242.0,40.598200450000036,-74.13300273399994,12,27,2019,10314
4799837,206859132,12/27/2019,792.0,WEAPONS POSSESSION 1 & 2,118.0,DANGEROUS WEAPONS,PL 265101B,F,S,122,0.0,45-64,M,WHITE,941201.0,145046.0,40.56469729900005,-74.15494125199997,12,27,2019,10308
4799862,206856541,12/27/2019,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,S,120,0.0,18-24,M,BLACK,959375.0,161473.0,40.609855736000036,-74.08959083099995,12,27,2019,10304
4799871,206852265,12/27/2019,567.0,"MARIJUANA, POSSESSION 4 & 5",235.0,DANGEROUS DRUGS,PL 2211500,M,S,123,0.0,25-44,M,WHITE,930734.0,133644.0,40.53334405000004,-74.19252325299993,12,27,2019,10312
4799889,206857339,12/27/2019,515.0,"CONTROLLED SUBSTANCE,SALE 3",117.0,DANGEROUS DRUGS,PL 2203901,F,S,120,0.0,65+,M,BLACK,962884.0,171652.0,40.63780411200002,-74.07698510099993,12,27,2019,10301
4799932,206858039,12/27/2019,849.0,"NY STATE LAWS,UNCLASSIFIED VIO",677.0,OTHER STATE LAWS,LOC00000V0,V,S,122,0.0,65+,F,WHITE,942113.0,135674.0,40.538977361000036,-74.15160045699997,12,27,2019,10308
4799950,206855227,12/27/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,121,0.0,18-24,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,27,2019,10303
4799977,206859910,12/27/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,120,0.0,25-44,M,BLACK,961493.0,166569.0,40.62384888900005,-74.08197985899994,12,27,2019,10305
4799998,206857682,12/27/2019,511.0,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,S,120,0.0,45-64,M,BLACK,962884.0,171652.0,40.63780411200002,-74.07698510099993,12,27,2019,10301
4800000,206856127,12/27/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,120,0.0,45-64,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,27,2019,10301
4800004,206856999,12/27/2019,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,S,122,0.0,25-44,M,WHITE HISPANIC,957394.0,148508.0,40.574263643000045,-74.09667402799995,12,27,2019,10306
4800023,206846887,12/26/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,122,0.0,25-44,M,WHITE,952709.0,147546.0,40.57160771300004,-74.11353394999998,12,26,2019,10306
4800064,206846885,12/26/2019,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,S,121,0.0,<18,M,BLACK,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,26,2019,10303
4800119,206843229,12/26/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,123,0.0,45-64,M,WHITE,918026.0,127756.0,40.517096870000046,-74.23818201199998,12,26,2019,10307
4800136,206846886,12/26/2019,198.0,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,PL 21551B5,F,S,122,0.0,25-44,M,WHITE,952709.0,147546.0,40.57160771300004,-74.11353394999998,12,26,2019,10306
4800288,206843343,12/26/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,123,0.0,25-44,M,BLACK HISPANIC,915920.0,126896.0,40.514720367000045,-74.24574771399993,12,26,2019,10307
4800292,206845201,12/26/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,25-44,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,26,2019,10301
4800356,206844801,12/26/2019,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,S,120,0.0,45-64,M,WHITE HISPANIC,962822.0,174282.0,40.645022746000045,-74.077216847,12,26,2019,10301
4800417,206850337,12/26/2019,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,PL 1703000,F,S,120,0.0,18-24,M,WHITE HISPANIC,962605.0,167032.0,40.62512251400005,-74.07797554499997,12,26,2019,10305
4800508,206841610,12/25/2019,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,S,120,0.0,25-44,M,BLACK,959876.0,172912.0,40.64125477400006,-74.08782774699995,12,25,2019,10301
4800513,206839664,12/25/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,121,0.0,45-64,M,WHITE HISPANIC,942822.0,166353.0,40.623188378000066,-74.14923769499995,12,25,2019,10303
4800519,206842582,12/25/2019,782.0,"WEAPONS, POSSESSION, ETC",236.0,DANGEROUS WEAPONS,PL 2650102,M,S,120,0.0,45-64,M,WHITE HISPANIC,957899.0,172971.0,40.64141105500005,-74.09495165299995,12,25,2019,10301
4800532,206839665,12/25/2019,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,S,121,0.0,18-24,M,WHITE HISPANIC,947810.0,170036.0,40.63331934900003,-74.13128931499993,12,25,2019,10310
4800561,206839943,12/25/2019,792.0,WEAPONS POSSESSION 1 & 2,118.0,DANGEROUS WEAPONS,PL 265031B,F,S,120,0.0,45-64,M,WHITE,962822.0,174282.0,40.645022746000045,-74.077216847,12,25,2019,10301
4800579,206842919,12/25/2019,490.0,"STOLEN PROPERTY 3,POSSESSION",232.0,POSSESSION OF STOLEN PROPERTY,PL 1654000,M,S,121,0.0,25-44,M,WHITE,942825.0,166367.0,40.623226819000074,-74.14922697299994,12,25,2019,10303
4800585,206839792,12/25/2019,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,S,123,0.0,25-44,M,WHITE,929527.0,138751.0,40.54735440800005,-74.19690667599998,12,25,2019,10312
4800596,206841744,12/25/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,120,0.0,25-44,M,WHITE,950701.0,164310.0,40.617614113000045,-74.12084502699997,12,25,2019,10310
4800605,206842918,12/25/2019,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,S,121,0.0,25-44,M,WHITE,946597.0,167073.0,40.625181473000055,-74.13564303499999,12,25,2019,10310
4800610,206839791,12/25/2019,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0512000,M,S,121,0.0,25-44,M,WHITE HISPANIC,937411.0,165645.0,40.62121811300005,-74.16872480299999,12,25,2019,10303
4800611,206841745,12/25/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,45-64,M,ASIAN / PACIFIC ISLANDER,960679.0,170586.0,40.63487257600008,-74.08492618999998,12,25,2019,10301
4800633,206832316,12/24/2019,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,S,120,0.0,45-64,M,WHITE,960924.0,172836.0,40.641048992000044,-74.08405124999997,12,24,2019,10301
4800653,206839423,12/24/2019,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 12005WH,F,S,123,0.0,25-44,M,WHITE HISPANIC,933615.0,136764.0,40.54192476100008,-74.18218233799999,12,24,2019,10312
4800660,206832505,12/24/2019,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,S,120,0.0,25-44,F,BLACK,962134.0,171660.0,40.637824229000046,-74.07968744499993,12,24,2019,10301
4800707,206836964,12/24/2019,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,121,0.0,45-64,M,BLACK,938434.0,171108.0,40.636218222000025,-74.16507684799996,12,24,2019,10303
4800715,206839793,12/24/2019,792.0,WEAPONS POSSESSION 1 & 2,118.0,DANGEROUS WEAPONS,PL 265031B,F,S,120,0.0,45-64,M,WHITE,961147.0,174247.0,40.64492246800006,-74.08325255499993,12,24,2019,10301
4800766,206837434,12/24/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,120,0.0,25-44,M,WHITE,962822.0,174282.0,40.645022746000045,-74.077216847,12,24,2019,10301
4800769,206832504,12/24/2019,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,S,121,0.0,25-44,M,BLACK,938890.0,170112.0,40.633486765000036,-74.163427185,12,24,2019,10303
4800808,206832503,12/24/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,121,0.0,25-44,M,BLACK,945031.0,166864.0,40.624601019000075,-74.141283188,12,24,2019,10303
4800852,206837747,12/24/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,25-44,M,BLACK,960544.0,171176.0,40.63649163900004,-74.08541465799993,12,24,2019,10301
4800862,206828948,12/23/2019,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,S,122,0.0,18-24,M,BLACK,958525.0,152764.0,40.58594887300006,-74.09261900899995,12,23,2019,10304
4800882,206826613,12/23/2019,503.0,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,S,122,0.0,25-44,M,BLACK HISPANIC,965019.0,156833.0,40.59713393000004,-74.06925029099993,12,23,2019,10305
4800910,206831680,12/23/2019,511.0,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,S,123,0.0,25-44,F,WHITE,923637.0,134812.0,40.53650433000007,-74.21806480699999,12,23,2019,10309
4800934,206826615,12/23/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,25-44,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,23,2019,10301
4800949,206829411,12/23/2019,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,S,123,0.0,25-44,F,BLACK,928429.0,130138.0,40.523706549000046,-74.20078646599995,12,23,2019,10309
4800962,206826618,12/23/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,25-44,M,BLACK,960345.0,172218.0,40.63935117200003,-74.08613535099995,12,23,2019,10301
4800978,206826614,12/23/2019,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,S,120,0.0,25-44,F,ASIAN / PACIFIC ISLANDER,962822.0,174282.0,40.645022746000045,-74.077216847,12,23,2019,10301
4800991,206826607,12/23/2019,596.0,OBSCENE MATERIAL - UNDER 17 YE,116.0,SEX CRIMES,PL 2504501,F,S,121,0.0,25-44,M,WHITE HISPANIC,942428.0,166536.0,40.62368882200008,-74.15065813299998,12,23,2019,10303
4801002,206830014,12/23/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,121,0.0,25-44,M,BLACK,938676.0,153149.0,40.58692579000007,-74.16408371599994,12,23,2019,10314
4801019,206830250,12/23/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0.0,45-64,M,WHITE,939716.0,152374.0,40.58480385900003,-74.16033425399995,12,23,2019,10314
